"id","circuitId","effective","length","turns"
"sochi-1","sochi",true,5.848,18
"spa-francorchamps-1","spa-francorchamps",false,14.120,21
"spa-francorchamps-2","spa-francorchamps",false,6.940,19
"spa-francorchamps-3","spa-francorchamps",false,6.976,19
"spa-francorchamps-4","spa-francorchamps",true,7.004,19
"spielberg-1","spielberg",false,5.911,16
"spielberg-2","spielberg",false,5.942,18
"spielberg-3","spielberg",true,4.326,10
"suzuka-1","suzuka",false,5.860,18
"suzuka-2","suzuka",true,5.807,18
"valencia-1","valencia",true,5.419,25
"watkins-glen-1","watkins-glen",false,3.780,8
"watkins-glen-2","watkins-glen",false,5.435,11
"watkins-glen-3","watkins-glen",true,5.435,11
"yas-marina-1","yas-marina",false,5.554,21
"yas-marina-2","yas-marina",true,5.281,16
"yeongam-1","yeongam",true,5.615,18
"zandvoort-1","zandvoort",false,4.193,19
"zandvoort-2","zandvoort",false,4.226,19
"zandvoort-3","zandvoort",false,4.226,19
"zandvoort-4","zandvoort",false,4.252,19
"zandvoort-5","zandvoort",true,4.259,14
"zeltweg-1","zeltweg",true,3.186,4
"zolder-1","zolder",false,4.220,14
"zolder-2","zolder",true,4.262,15
